algorithm,feature_combo,name,st_num,dataset,MAE,RMSE,R2,WI
MLR,1,mlr_1,17237,test,0.4163369033068196,0.5147019941824722,0.8705886693138417,0.833978059703095
MLR,1,mlr_1,17862,test,0.4485391255262786,0.5392339817771766,0.8777382869626249,0.8314384114682851
MLR,1,mlr_1,17884,test,0.4294756059246959,0.5440991151773826,0.886524139639674,0.8501182573184413
MLR,1,mlr_1,17186,train,0.6377750381235607,0.8013164335403572,0.8340829312943562,0.8204959731870328
MLR,1,mlr_1,17227,train,0.4911260787346168,0.5677194799557422,0.918846297621544,0.8628368238248443
MLR,1,mlr_1,17296,train,0.4332077810514515,0.5177578719480171,0.8987640688099109,0.8481089345155907
MLR,1,mlr_1,17298,train,0.3530201741363752,0.4299851499316559,0.9440398890463774,0.8900483072451144
MLR,1,mlr_1,17824,train,0.3948991297848938,0.491248852225086,0.9513136820059962,0.8978775760292392
MLR,1,mlr_1,17860,train,0.3268918121573085,0.4036600082356,0.9536841667674376,0.902278738947711
MLR,1,mlr_1,17886,train,0.4862657302344252,0.577433638040242,0.8979740412009048,0.8476535430656454
MLR,1,mlr_1,17924,train,0.5634469643438852,0.728153068006523,0.7645772040490244,0.7840210247670291
MLR,2,mlr_2,17237,test,0.4154855191886849,0.5126258825714427,0.8716305557192598,0.8343175646619588
MLR,2,mlr_2,17862,test,0.4582931433940553,0.551695804658749,0.8720219957621391,0.8277728388285961
MLR,2,mlr_2,17884,test,0.4264995782295123,0.5389493815190475,0.8886620038501175,0.8511568546475312
MLR,2,mlr_2,17186,train,0.6314471917239645,0.7949794195957242,0.83669678342765,0.8222769678040743
MLR,2,mlr_2,17227,train,0.4895692538191579,0.5679624095038318,0.918776830742468,0.8632716185942508
MLR,2,mlr_2,17296,train,0.429263335903355,0.5134039067705772,0.9004595501679068,0.849491933627091
MLR,2,mlr_2,17298,train,0.3559325522950054,0.4354766558162824,0.9426013852484452,0.8891412177019542
MLR,2,mlr_2,17824,train,0.3969573817479479,0.4930047246987363,0.9509650206568664,0.8973453042064976
