Istasyon_No|Istasyon_Adi|YIL|AY|GUNLUK_TOPLAM_GLOBAL_GUNESLENME_SIDDETI_AYLIK_ORTALAMASI
17824|G?NEY|1992|10|325.4
17824|G?NEY|1992|11|226.9
17824|G?NEY|1992|12|184.3
17824|G?NEY|1993|1|229.0
17824|G?NEY|1993|2|300.8
17824|G?NEY|1993|3|420.4
17824|G?NEY|1993|4|463.7
17824|G?NEY|1993|5|510.0
17824|G?NEY|1993|6|642.3
17824|G?NEY|1993|7|645.0
17824|G?NEY|1993|8|569.6
17824|G?NEY|1993|9|490.3
17824|G?NEY|1993|10|372.3
17824|G?NEY|1993|11|246.2
17824|G?NEY|1993|12|194.4
17824|G?NEY|1994|1|205.2
17824|G?NEY|1994|2|277.5
17824|G?NEY|1994|3|404.6
17824|G?NEY|1994|4|478.0
17824|G?NEY|1994|5|588.5
17824|G?NEY|1994|6|649.0
17824|G?NEY|1994|7|615.4
17824|G?NEY|1994|8|573.5
17824|G?NEY|1994|9|476.3
17824|G?NEY|1994|10|323.7
17824|G?NEY|1994|11|241.5
17824|G?NEY|1994|12|206.5
17824|G?NEY|1995|1|238.2
17824|G?NEY|1995|3|339.7
17824|G?NEY|1995|4|477.6
17824|G?NEY|1995|5|586.3
17824|G?NEY|1995|6|627.9
17824|G?NEY|1995|7|591.8
17824|G?NEY|1995|8|563.4
17824|G?NEY|1995|9|467.3
17824|G?NEY|1995|10|358.3
17824|G?NEY|1995|11|208.2
17824|G?NEY|1995|12|183.1
17824|G?NEY|1996|1|200.1
17824|G?NEY|1996|2|254.6
17824|G?NEY|1996|3|342.8
17824|G?NEY|1996|4|450.8
17824|G?NEY|1996|5|572.3
17824|G?NEY|1996|6|647.5
17824|G?NEY|1996|7|624.8
17824|G?NEY|1996|8|582.2
17824|G?NEY|1996|9|451.0
17824|G?NEY|1996|10|352.4
17824|G?NEY|1996|11|269.4
17824|G?NEY|1996|12|144.5
17824|G?NEY|1997|1|256.6
17824|G?NEY|1997|2|324.0
17824|G?NEY|1997|3|427.7
17824|G?NEY|1997|4|455.3
17824|G?NEY|1997|5|598.2
17824|G?NEY|1997|6|555.3
17824|G?NEY|1997|7|632.4
17824|G?NEY|1997|8|544.7
17824|G?NEY|1997|9|509.3
17824|G?NEY|1997|10|309.1
17824|G?NEY|1997|11|251.5
17824|G?NEY|1997|12|165.7
17824|G?NEY|1998|1|210.9
17824|G?NEY|1998|2|299.1
17824|G?NEY|1998|3|310.1
17824|G?NEY|1998|4|441.0
17824|G?NEY|1998|5|448.2
17824|G?NEY|1998|6|583.8
17824|G?NEY|1998|7|606.7
17824|G?NEY|1998|8|549.0
17824|G?NEY|1998|9|433.6
17824|G?NEY|1998|10|326.6
17824|G?NEY|1998|11|220.4
17824|G?NEY|1998|12|141.1
17824|G?NEY|1999|1|182.1
17824|G?NEY|1999|2|205.9
17824|G?NEY|1999|3|319.5
17824|G?NEY|1999|4|442.1
17824|G?NEY|1999|5|512.2
17824|G?NEY|1999|6|526.4
17824|G?NEY|1999|7|544.5
17824|G?NEY|1999|8|498.8
17824|G?NEY|1999|9|424.2
17824|G?NEY|1999|10|310.2
17824|G?NEY|1999|11|227.4
17824|G?NEY|1999|12|162.4
17824|G?NEY|2000|1|186.8
17824|G?NEY|2000|2|246.5
17824|G?NEY|2000|3|357.8
17824|G?NEY|2000|4|392.8
17824|G?NEY|2000|5|475.5
17824|G?NEY|2000|6|556.8
17824|G?NEY|2000|7|555.3
17824|G?NEY|2000|8|494.1
17824|G?NEY|2000|9|434.8
17824|G?NEY|2000|10|298.6
17824|G?NEY|2000|11|234.1
17824|G?NEY|2000|12|175.0
17824|G?NEY|2001|1|194.5
17824|G?NEY|2001|2|234.7
17824|G?NEY|2001|3|363.6
17824|G?NEY|2001|4|397.8
17824|G?NEY|2001|5|456.4
17824|G?NEY|2001|6|583.2
17824|G?NEY|2001|7|557.0
17824|G?NEY|2001|8|490.5
17824|G?NEY|2001|9|434.6
17824|G?NEY|2001|10|329.7
17824|G?NEY|2001|11|186.7
17824|G?NEY|2001|12|113.6
17824|G?NEY|2002|1|208.0
17824|G?NEY|2002|2|273.3
17824|G?NEY|2002|3|287.1
17824|G?NEY|2002|4|358.3
17824|G?NEY|2002|5|513.9
17824|G?NEY|2002|6|538.1
17824|G?NEY|2002|7|516.9
17824|G?NEY|2002|8|480.3
17824|G?NEY|2002|9|365.9
17824|G?NEY|2002|10|295.5
17824|G?NEY|2002|11|211.5
17824|G?NEY|2002|12|140.6
17824|G?NEY|2003|1|149.0
17824|G?NEY|2003|2|206.5
17824|G?NEY|2003|3|322.6
17824|G?NEY|2003|4|327.1
17824|G?NEY|2003|5|467.6
17824|G?NEY|2003|6|531.5
17824|G?NEY|2003|7|536.4
17824|G?NEY|2003|8|479.0
17824|G?NEY|2003|9|401.6
17824|G?NEY|2003|10|283.1
17824|G?NEY|2003|11|213.5
17824|G?NEY|2003|12|147.5
17824|G?NEY|2004|1|141.2
17824|G?NEY|2004|2|233.1
17824|G?NEY|2004|3|322.9
17824|G?NEY|2004|4|371.2
17824|G?NEY|2004|5|472.1
17824|G?NEY|2004|6|507.5
17824|G?NEY|2004|7|533.2
17824|G?NEY|2004|8|480.2
17824|G?NEY|2004|9|405.6
17824|G?NEY|2004|10|291.8
17824|G?NEY|2004|11|187.7
17824|G?NEY|2004|12|149.1
17824|G?NEY|2005|1|168.5
17824|G?NEY|2005|2|211.1
17824|G?NEY|2005|3|294.9
17824|G?NEY|2005|4|374.7
17824|G?NEY|2005|5|435.5
17824|G?NEY|2005|6|525.3
17824|G?NEY|2005|7|520.8
17824|G?NEY|2005|8|491.5
17824|G?NEY|2005|9|409.2
17824|G?NEY|2005|10|304.6
17824|G?NEY|2005|11|188.4
17824|G?NEY|2005|12|164.8
17824|G?NEY|2006|1|191.3
17824|G?NEY|2006|2|207.6
17824|G?NEY|2006|3|299.9
17824|G?NEY|2006|4|377.9
17824|G?NEY|2006|5|472.0
17824|G?NEY|2006|6|522.8
17824|G?NEY|2006|7|507.7
17824|G?NEY|2006|8|464.9
17824|G?NEY|2006|9|357.7
17824|G?NEY|2006|10|264.8
17824|G?NEY|2006|11|214.9
17824|G?NEY|2006|12|165.2
17860|NAZ?LL?|1986|4|429.2
17860|NAZ?LL?|1986|5|484.5
17860|NAZ?LL?|1986|6|503.6
17860|NAZ?LL?|1986|7|536.6
17860|NAZ?LL?|1986|8|473.4
17860|NAZ?LL?|1986|9|381.4
17860|NAZ?LL?|1986|10|295.7
17860|NAZ?LL?|1986|11|229.1
17860|NAZ?LL?|1986|12|154.1
17860|NAZ?LL?|1987|1|142.3
17860|NAZ?LL?|1987|2|220.5
17860|NAZ?LL?|1987|3|325.3
17860|NAZ?LL?|1987|4|380.1
17860|NAZ?LL?|1987|5|450.7
17860|NAZ?LL?|1987|6|533.8
17860|NAZ?LL?|1987|7|521.4
17860|NAZ?LL?|1987|8|505.6
17860|NAZ?LL?|1987|9|420.3
17860|NAZ?LL?|1987|10|313.1
17860|NAZ?LL?|1987|11|200.3
17860|NAZ?LL?|1987|12|159.5
17860|NAZ?LL?|1988|1|183.4
17860|NAZ?LL?|1988|2|239.0
17860|NAZ?LL?|1988|3|278.5
17860|NAZ?LL?|1988|4|388.1
17860|NAZ?LL?|1988|5|502.4
17860|NAZ?LL?|1988|6|524.5
17860|NAZ?LL?|1988|7|556.0
17860|NAZ?LL?|1988|8|510.8
17860|NAZ?LL?|1988|9|440.7
17860|NAZ?LL?|1988|10|307.5
17860|NAZ?LL?|1988|11|199.0
17860|NAZ?LL?|1988|12|153.6
17860|NAZ?LL?|1989|1|247.7
17860|NAZ?LL?|1989|2|304.5
17860|NAZ?LL?|1989|3|326.2
17860|NAZ?LL?|1989|4|457.0
17860|NAZ?LL?|1989|5|512.8
17860|NAZ?LL?|1989|6|568.6
17860|NAZ?LL?|1989|7|575.3
17860|NAZ?LL?|1989|8|504.5
17860|NAZ?LL?|1989|9|426.9
17860|NAZ?LL?|1989|10|302.7
17860|NAZ?LL?|1989|11|209.6
17860|NAZ?LL?|1989|12|173.7
17860|NAZ?LL?|1990|1|230.0
17860|NAZ?LL?|1990|2|262.9
17860|NAZ?LL?|1990|3|419.8
17860|NAZ?LL?|1990|4|414.4
17860|NAZ?LL?|1990|5|496.6
17860|NAZ?LL?|1990|6|565.6
17860|NAZ?LL?|1990|7|568.1
17860|NAZ?LL?|1990|8|509.8
17860|NAZ?LL?|1990|9|442.5
17860|NAZ?LL?|1990|10|316.7
17860|NAZ?LL?|1990|11|220.7
17860|NAZ?LL?|1990|12|155.7
17860|NAZ?LL?|1991|1|212.1
17860|NAZ?LL?|1991|2|231.8
17860|NAZ?LL?|1991|3|349.1
17860|NAZ?LL?|1991|4|408.3
17860|NAZ?LL?|1991|5|435.9
17860|NAZ?LL?|1991|6|570.6
17860|NAZ?LL?|1991|7|564.5
17860|NAZ?LL?|1991|8|504.1
17860|NAZ?LL?|1991|9|434.2
17860|NAZ?LL?|1991|10|287.8
17860|NAZ?LL?|1991|11|233.8
17860|NAZ?LL?|1991|12|153.4
17860|NAZ?LL?|1992|1|217.4
17860|NAZ?LL?|1992|2|289.9
17860|NAZ?LL?|1992|3|325.4
17860|NAZ?LL?|1992|4|440.8
17860|NAZ?LL?|1992|5|496.2
17860|NAZ?LL?|1992|6|518.7
17860|NAZ?LL?|1992|7|534.2
17860|NAZ?LL?|1992|8|504.7
17860|NAZ?LL?|1992|9|451.0
17860|NAZ?LL?|1992|10|307.4
17860|NAZ?LL?|1992|11|205.7
17860|NAZ?LL?|1992|12|178.3
17860|NAZ?LL?|1993|1|200.5
17860|NAZ?LL?|1993|2|260.8
17860|NAZ?LL?|1993|3|378.0
17860|NAZ?LL?|1993|4|426.7
17860|NAZ?LL?|1993|5|484.3
17860|NAZ?LL?|1993|6|571.0
17860|NAZ?LL?|1993|7|558.2
17860|NAZ?LL?|1993|8|516.6
17860|NAZ?LL?|1993|9|453.3
17860|NAZ?LL?|1993|10|333.1
17860|NAZ?LL?|1993|11|226.1
17860|NAZ?LL?|1993|12|156.6
17860|NAZ?LL?|1994|1|155.1
17860|NAZ?LL?|1994|2|216.7
17860|NAZ?LL?|1994|3|364.4
17860|NAZ?LL?|1994|4|427.9
17860|NAZ?LL?|1994|5|521.2
17860|NAZ?LL?|1994|6|589.4
17860|NAZ?LL?|1994|7|580.4
17860|NAZ?LL?|1994|8|540.6
17860|NAZ?LL?|1994|9|452.7
17860|NAZ?LL?|1994|10|284.0
17860|NAZ?LL?|1994|11|189.0
17860|NAZ?LL?|1994|12|137.8
17860|NAZ?LL?|1995|1|142.5
17860|NAZ?LL?|1995|2|265.1
17860|NAZ?LL?|1995|3|310.5
17860|NAZ?LL?|1995|4|457.2
17860|NAZ?LL?|1995|5|570.2
17860|NAZ?LL?|1995|6|612.2
17860|NAZ?LL?|1995|7|583.8
17860|NAZ?LL?|1995|8|546.0
17860|NAZ?LL?|1995|9|450.3
17860|NAZ?LL?|1995|10|367.4
17860|NAZ?LL?|1995|11|191.4
17860|NAZ?LL?|1995|12|149.1
17860|NAZ?LL?|1996|1|167.2
17860|NAZ?LL?|1996|2|226.7
17860|NAZ?LL?|1996|3|335.6
17860|NAZ?LL?|1996|4|459.0
17860|NAZ?LL?|1996|5|524.4
17860|NAZ?LL?|1996|6|616.9
17860|NAZ?LL?|1996|7|574.0
17860|NAZ?LL?|1996|8|524.2
17860|NAZ?LL?|1996|9|414.5
17860|NAZ?LL?|1996|10|310.3
17862|D?NAR|1984|9|457.6
17862|D?NAR|1984|10|342.3
17862|D?NAR|1984|11|185.4
17862|D?NAR|1984|12|172.8
17862|D?NAR|1985|1|147.2
17862|D?NAR|1985|2|220.0
17862|D?NAR|1985|3|318.5
17862|D?NAR|1985|4|393.0
17862|D?NAR|1985|5|447.5
17862|D?NAR|1985|6|558.0
17862|D?NAR|1985|7|556.7
17862|D?NAR|1985|8|473.1
17862|D?NAR|1985|9|404.9
17862|D?NAR|1985|10|273.1
17862|D?NAR|1985|11|181.5
17862|D?NAR|1985|12|159.0
17862|D?NAR|1986|1|152.9
17862|D?NAR|1986|2|210.3
17862|D?NAR|1986|3|355.1
17862|D?NAR|1986|4|438.2
17862|D?NAR|1986|5|460.7
17862|D?NAR|1986|6|485.4
17862|D?NAR|1986|7|517.2
17862|D?NAR|1986|8|461.1
17862|D?NAR|1986|9|374.2
17862|D?NAR|1986|10|294.0
17862|D?NAR|1986|11|217.9
17862|D?NAR|1986|12|157.6
17862|D?NAR|1987|1|144.4
17862|D?NAR|1987|2|241.1
17862|D?NAR|1987|3|346.4
17862|D?NAR|1987|4|377.9
17862|D?NAR|1987|5|444.6
17862|D?NAR|1987|6|546.8
17862|D?NAR|1987|7|540.3
17862|D?NAR|1987|8|509.6
17862|D?NAR|1987|9|407.9
17862|D?NAR|1987|10|291.8
17862|D?NAR|1987|11|190.3
17862|D?NAR|1987|12|142.2
17862|D?NAR|1988|1|182.4
17862|D?NAR|1988|2|227.7
17862|D?NAR|1988|3|299.9
17862|D?NAR|1988|4|376.7
17862|D?NAR|1988|5|492.3
17862|D?NAR|1988|6|528.2
17862|D?NAR|1988|7|550.2
17862|D?NAR|1988|8|500.4
17862|D?NAR|1988|9|439.1
17862|D?NAR|1988|10|285.9
17862|D?NAR|1988|11|191.7
17862|D?NAR|1988|12|155.9
17862|D?NAR|1989|1|236.1
17862|D?NAR|1989|2|297.3
17862|D?NAR|1989|3|358.2
17862|D?NAR|1989|4|467.3
17862|D?NAR|1989|5|472.7
17862|D?NAR|1989|6|567.1
17862|D?NAR|1989|7|554.9
17862|D?NAR|1989|8|497.5
17862|D?NAR|1989|9|427.8
17862|D?NAR|1989|10|281.9
17862|D?NAR|1989|11|171.0
17862|D?NAR|1989|12|167.5
17862|D?NAR|1990|1|213.8
17862|D?NAR|1990|2|245.7
17862|D?NAR|1990|3|394.8
17862|D?NAR|1990|4|424.5
17862|D?NAR|1990|5|437.6
17862|D?NAR|1990|6|542.1
17862|D?NAR|1990|7|543.5
17862|D?NAR|1990|8|507.5
17862|D?NAR|1990|9|405.0
17862|D?NAR|1990|10|297.3
17862|D?NAR|1990|11|205.3
17862|D?NAR|1990|12|157.8
17862|D?NAR|1991|1|193.9
17862|D?NAR|1991|2|225.4
17862|D?NAR|1991|3|345.2
17862|D?NAR|1991|4|370.6
17862|D?NAR|1991|5|410.8
17862|D?NAR|1991|6|535.6
17862|D?NAR|1991|7|512.2
17862|D?NAR|1991|8|469.2
17862|D?NAR|1991|9|405.2
17862|D?NAR|1991|10|266.3
17862|D?NAR|1991|11|199.1
17862|D?NAR|1991|12|152.0
17862|D?NAR|1992|1|206.7
17862|D?NAR|1992|2|278.5
17862|D?NAR|1992|3|316.2
17862|D?NAR|1992|4|417.9
17862|D?NAR|1992|5|446.0
17862|D?NAR|1992|6|491.0
17862|D?NAR|1992|7|508.7
17862|D?NAR|1992|8|480.6
17862|D?NAR|1992|9|411.5
17862|D?NAR|1992|10|274.8
17862|D?NAR|1993|1|209.5
17862|D?NAR|1993|2|280.5
17862|D?NAR|1993|3|401.9
17862|D?NAR|1993|4|428.9
17862|D?NAR|1993|5|447.0
17862|D?NAR|1993|6|585.4
17862|D?NAR|1993|7|594.9
17862|D?NAR|1993|8|536.2
17862|D?NAR|1993|9|462.0
17862|D?NAR|1993|10|336.5
17862|D?NAR|1993|11|232.3
17862|D?NAR|1993|12|187.4
17862|D?NAR|1994|1|170.3
17862|D?NAR|1994|2|239.2
17862|D?NAR|1994|3|366.1
17862|D?NAR|1994|4|426.0
17862|D?NAR|1994|5|522.2
17862|D?NAR|1994|6|606.7
17862|D?NAR|1994|7|606.4
17862|D?NAR|1994|8|575.9
17862|D?NAR|1994|9|481.1
17862|D?NAR|1994|10|303.2
17862|D?NAR|1994|11|233.4
17862|D?NAR|1994|12|192.6
17862|D?NAR|1995|1|195.5
17862|D?NAR|1995|2|329.7
17862|D?NAR|1995|3|356.8
17862|D?NAR|1995|4|451.4
17862|D?NAR|1995|5|608.1
17862|D?NAR|1995|6|640.0
17862|D?NAR|1995|7|652.8
17862|D?NAR|1995|8|613.5
17862|D?NAR|1995|9|510.9
17862|D?NAR|1995|10|325.2
17862|D?NAR|1995|11|229.9
17862|D?NAR|1995|12|199.4
17862|D?NAR|1996|1|208.1
17862|D?NAR|1996|2|265.2
17862|D?NAR|1996|3|356.7
17862|D?NAR|1996|4|516.0
17862|D?NAR|1996|5|630.4
17862|D?NAR|1996|6|709.0
17862|D?NAR|1996|7|660.2
17862|D?NAR|1996|8|598.3
17862|D?NAR|1996|9|465.1
17862|D?NAR|1996|10|339.1
17862|D?NAR|1996|11|273.0
17862|D?NAR|1996|12|154.5
17862|D?NAR|1997|1|255.7
17862|D?NAR|1997|2|335.8
17862|D?NAR|1997|3|416.9
17862|D?NAR|1997|4|395.2
17862|D?NAR|1997|5|565.3
17862|D?NAR|1997|6|546.4
17862|D?NAR|1997|7|585.0
17862|D?NAR|1997|8|495.1
17862|D?NAR|1997|9|445.5
17862|D?NAR|1997|10|268.5
17862|D?NAR|1997|11|219.3
17862|D?NAR|1997|12|141.0
17862|D?NAR|1998|1|187.9
17862|D?NAR|1998|2|296.8
17862|D?NAR|1998|3|301.9
17862|D?NAR|1998|4|401.5
17862|D?NAR|1998|5|438.8
17862|D?NAR|1998|6|571.4
17862|D?NAR|1998|7|585.8
17862|D?NAR|1998|8|542.6
17862|D?NAR|1998|9|403.9
17862|D?NAR|1998|10|296.3
17862|D?NAR|1998|11|193.9
17862|D?NAR|1998|12|133.8
17862|D?NAR|1999|1|164.0
17862|D?NAR|1999|2|202.7
17862|D?NAR|1999|3|320.6
17862|D?NAR|1999|4|437.1
17862|D?NAR|1999|5|528.0
17862|D?NAR|1999|6|538.8
17862|D?NAR|1999|7|565.2
17862|D?NAR|1999|8|520.0
17862|D?NAR|1999|9|430.7
17862|D?NAR|1999|10|316.3
17862|D?NAR|1999|11|223.0
17862|D?NAR|1999|12|158.6
17862|D?NAR|2000|1|193.2
17862|D?NAR|2000|2|266.1
17862|D?NAR|2000|3|381.6
17862|D?NAR|2000|4|390.7
17862|D?NAR|2000|5|494.4
17862|D?NAR|2000|6|557.6
17862|D?NAR|2000|7|593.7
17862|D?NAR|2000|8|522.5
17862|D?NAR|2000|9|451.1
17862|D?NAR|2000|10|321.0
17862|D?NAR|2000|11|237.1
17862|D?NAR|2000|12|174.6
17862|D?NAR|2001|1|201.2
17862|D?NAR|2001|2|222.8
17862|D?NAR|2001|3|366.6
17862|D?NAR|2001|4|397.1
17862|D?NAR|2001|5|462.1
17862|D?NAR|2001|6|615.1
17862|D?NAR|2001|7|573.4
17862|D?NAR|2001|8|506.7
17862|D?NAR|2001|9|459.3
17862|D?NAR|2001|10|341.8
17862|D?NAR|2001|11|182.5
17862|D?NAR|2001|12|110.3
17862|D?NAR|2002|1|208.1
17862|D?NAR|2002|2|275.0
17862|D?NAR|2002|3|302.8
17862|D?NAR|2002|4|372.5
17862|D?NAR|2002|5|541.5
17862|D?NAR|2002|6|564.6
17862|D?NAR|2002|7|538.1
17862|D?NAR|2002|8|521.5
17862|D?NAR|2002|9|390.8
17862|D?NAR|2002|10|324.7
17862|D?NAR|2002|11|220.4
17862|D?NAR|2002|12|139.9
17862|D?NAR|2003|1|151.8
17862|D?NAR|2003|2|205.9
17862|D?NAR|2003|3|326.5
17862|D?NAR|2003|4|351.3
17862|D?NAR|2003|5|488.8
17862|D?NAR|2003|6|563.1
17862|D?NAR|2003|7|586.7
17862|D?NAR|2003|8|518.5
17862|D?NAR|2003|9|428.2
17862|D?NAR|2003|10|306.8
17862|D?NAR|2003|11|225.2
17862|D?NAR|2003|12|151.9
17862|D?NAR|2004|1|142.1
17862|D?NAR|2004|2|221.9
17862|D?NAR|2004|3|359.7
17862|D?NAR|2004|4|410.3
17862|D?NAR|2004|5|500.2
17862|D?NAR|2004|6|524.2
17862|D?NAR|2004|7|567.0
17862|D?NAR|2004|8|511.4
17862|D?NAR|2004|9|443.1
17862|D?NAR|2004|10|299.9
17862|D?NAR|2004|11|182.3
17862|D?NAR|2004|12|159.6
17862|D?NAR|2005|1|164.0
17862|D?NAR|2005|2|226.9
17862|D?NAR|2005|3|312.7
17862|D?NAR|2005|4|383.5
17862|D?NAR|2005|5|449.2
17862|D?NAR|2005|6|541.4
17862|D?NAR|2005|7|532.0
17862|D?NAR|2005|8|502.6
17862|D?NAR|2005|9|423.9
17862|D?NAR|2005|10|287.2
17862|D?NAR|2005|11|174.9
17862|D?NAR|2005|12|159.8
17862|D?NAR|2006|1|185.1
17862|D?NAR|2006|2|202.5
17862|D?NAR|2006|3|285.5
17862|D?NAR|2006|4|385.2
17862|D?NAR|2006|5|483.8
17862|D?NAR|2006|6|532.3
17862|D?NAR|2006|7|523.2
17862|D?NAR|2006|8|490.0
17862|D?NAR|2006|9|370.4
17862|D?NAR|2006|10|260.9
17862|D?NAR|2006|11|211.4
17862|D?NAR|2006|12|172.6
17884|M?LAS|1984|2|249.1
17884|M?LAS|1984|3|301.6
17884|M?LAS|1984|4|421.0
17884|M?LAS|1984|5|485.8
17884|M?LAS|1984|6|530.3
17884|M?LAS|1984|7|529.8
17884|M?LAS|1984|8|493.9
17884|M?LAS|1984|9|381.5
17884|M?LAS|1984|10|287.5
17884|M?LAS|1984|11|171.0
17884|M?LAS|1984|12|144.5
17884|M?LAS|1985|1|140.2
17884|M?LAS|1985|2|255.2
17884|M?LAS|1985|3|304.9
17884|M?LAS|1985|4|457.3
17884|M?LAS|1985|5|473.9
17884|M?LAS|1985|6|564.1
17884|M?LAS|1985|7|549.4
17884|M?LAS|1985|8|488.8
17884|M?LAS|1985|9|404.1
17884|M?LAS|1985|10|274.1
17884|M?LAS|1985|11|172.5
17884|M?LAS|1985|12|139.2
17884|M?LAS|1986|1|131.5
17884|M?LAS|1986|2|191.9
17884|M?LAS|1986|3|308.5
17884|M?LAS|1986|4|415.3
17884|M?LAS|1986|5|478.8
17884|M?LAS|1986|6|527.9
17884|M?LAS|1986|7|533.6
17884|M?LAS|1986|8|461.6
17884|M?LAS|1986|9|370.7
17884|M?LAS|1986|10|293.1
17884|M?LAS|1986|11|212.5
17884|M?LAS|1986|12|133.9
17884|M?LAS|1987|1|140.1
17884|M?LAS|1987|2|207.0
17884|M?LAS|1987|3|310.9
17884|M?LAS|1987|4|375.0
17884|M?LAS|1987|5|454.6
17884|M?LAS|1987|6|521.1
17884|M?LAS|1987|7|483.7
17884|M?LAS|1987|8|446.6
17884|M?LAS|1987|9|363.9
17884|M?LAS|1987|10|272.2
17884|M?LAS|1987|11|158.9
17884|M?LAS|1987|12|145.3
17884|M?LAS|1988|1|155.1
17884|M?LAS|1988|2|214.8
17884|M?LAS|1988|3|273.0
17884|M?LAS|1988|4|352.2
17884|M?LAS|1988|5|466.6
17884|M?LAS|1988|6|490.4
17884|M?LAS|1988|7|507.2
17884|M?LAS|1988|8|451.4
17884|M?LAS|1988|9|388.3
17884|M?LAS|1988|10|260.5
17884|M?LAS|1988|11|176.8
17884|M?LAS|1988|12|132.1
17884|M?LAS|1989|1|192.6
17884|M?LAS|1989|2|268.1
17884|M?LAS|1989|3|318.0
17884|M?LAS|1989|4|429.5
17884|M?LAS|1989|5|471.7
17884|M?LAS|1989|6|531.8
17884|M?LAS|1989|7|520.7
17884|M?LAS|1989|8|452.5
17884|M?LAS|1989|9|386.4
17884|M?LAS|1989|10|270.1
17884|M?LAS|1989|11|179.7
17884|M?LAS|1989|12|147.4
17884|M?LAS|1990|1|172.4
17884|M?LAS|1990|2|225.7
17884|M?LAS|1990|3|357.8
17884|M?LAS|1990|4|389.1
17884|M?LAS|1990|5|470.3
17884|M?LAS|1990|6|513.5
17884|M?LAS|1990|7|492.3
17884|M?LAS|1990|8|447.2
17884|M?LAS|1990|9|387.4
17884|M?LAS|1990|10|270.5
17884|M?LAS|1990|11|179.0
17884|M?LAS|1990|12|134.7
17884|M?LAS|1991|1|173.3
17884|M?LAS|1991|2|208.8
17884|M?LAS|1991|3|292.6
17884|M?LAS|1991|4|398.8
17884|M?LAS|1991|5|391.7
17884|M?LAS|1991|6|520.6
17884|M?LAS|1991|7|504.6
17884|M?LAS|1991|8|418.0
17884|M?LAS|1991|9|352.4
17884|M?LAS|1991|10|230.9
17884|M?LAS|1991|11|184.8
17884|M?LAS|1991|12|131.5
17884|M?LAS|1992|1|171.2
17884|M?LAS|1992|2|209.9
17884|M?LAS|1992|3|261.1
17884|M?LAS|1992|4|376.8
17884|M?LAS|1992|5|418.9
17884|M?LAS|1992|6|449.9
17884|M?LAS|1992|7|449.9
17884|M?LAS|1992|8|398.0
17884|M?LAS|1992|9|347.7
17884|M?LAS|1992|10|228.9
17884|M?LAS|1992|11|156.5
17884|M?LAS|1992|12|138.4
17884|M?LAS|1993|1|148.4
17884|M?LAS|1993|2|200.8
17884|M?LAS|1993|3|307.1
17884|M?LAS|1993|4|361.7
17884|M?LAS|1993|5|420.5
17884|M?LAS|1993|6|485.9
17884|M?LAS|1993|7|485.8
17884|M?LAS|1993|8|415.8
17884|M?LAS|1993|9|356.2
17884|M?LAS|1993|10|257.4
17884|M?LAS|1993|11|168.0
17884|M?LAS|1993|12|123.2
17884|M?LAS|1994|1|118.1
17884|M?LAS|1994|2|187.1
17884|M?LAS|1994|3|317.3
17884|M?LAS|1994|4|357.6
17884|M?LAS|1994|5|449.6
17884|M?LAS|1994|6|504.8
17884|M?LAS|1994|7|467.7
17884|M?LAS|1994|8|435.3
17884|M?LAS|1994|9|358.8
17884|M?LAS|1994|10|223.2
17884|M?LAS|1994|11|172.4
17884|M?LAS|1994|12|129.1
17884|M?LAS|1995|1|129.1
17884|M?LAS|1995|2|221.5
17884|M?LAS|1995|3|269.9
17884|M?LAS|1995|4|399.2
17884|M?LAS|1995|5|473.7
17884|M?LAS|1995|6|516.5
17884|M?LAS|1995|7|497.8
17884|M?LAS|1995|8|444.7
17884|M?LAS|1995|9|403.0
17884|M?LAS|1995|10|244.5
17884|M?LAS|1995|11|149.3
17884|M?LAS|1995|12|118.4
17884|M?LAS|1996|1|134.3
17884|M?LAS|1996|2|178.2
17884|M?LAS|1996|3|267.9
17884|M?LAS|1996|4|374.6
17884|M?LAS|1996|5|417.9
17884|M?LAS|1996|6|493.8
17884|M?LAS|1996|7|465.8
17884|M?LAS|1996|8|416.7
17884|M?LAS|1996|9|299.8
17884|M?LAS|1996|10|217.3
17884|M?LAS|1996|11|157.4
17884|M?LAS|1996|12|110.6
17884|M?LAS|1997|1|159.6
17884|M?LAS|1997|2|201.7
17884|M?LAS|1997|3|281.6
17884|M?LAS|1997|4|311.8
17884|M?LAS|1997|5|434.9
17884|M?LAS|1997|6|454.4
17884|M?LAS|1997|7|461.3
17884|M?LAS|1997|8|400.5
17884|M?LAS|1997|9|338.7
17884|M?LAS|1997|10|205.9
17884|M?LAS|1997|11|140.6
17884|M?LAS|1997|12|116.8
17884|M?LAS|1998|1|138.4
17884|M?LAS|1998|2|203.1
17884|M?LAS|1998|3|245.7
17884|M?LAS|1998|4|343.1
17884|M?LAS|1998|5|378.3
17884|M?LAS|1998|6|460.6
17884|M?LAS|1998|7|445.5
17884|M?LAS|1998|8|397.3
17884|M?LAS|1998|9|328.2
17884|M?LAS|1998|10|227.6
17884|M?LAS|1998|11|141.4
17884|M?LAS|1998|12|102.4
17884|M?LAS|1999|1|119.7
17884|M?LAS|1999|2|172.9
17884|M?LAS|1999|3|263.6
17884|M?LAS|1999|4|363.7
17884|M?LAS|1999|5|432.3
17884|M?LAS|1999|6|470.5
17884|M?LAS|1999|7|451.4
17884|M?LAS|1999|8|396.8
17884|M?LAS|1999|9|330.2
17884|M?LAS|1999|10|237.5
