Istasyon_No|Istasyon_Adi|YIL|AY|AYLIK_ORTALAMA_RUZGAR_HIZI
17186|MAN?SA|1972|1|1.9
17186|MAN?SA|1972|2|2.3
17186|MAN?SA|1972|3|3.4
17186|MAN?SA|1972|4|2.7
17186|MAN?SA|1972|5|2.1
17186|MAN?SA|1972|6|2.6
17186|MAN?SA|1972|7|2.4
17186|MAN?SA|1972|8|2.8
17186|MAN?SA|1972|9|2.4
17186|MAN?SA|1972|10|1.9
17186|MAN?SA|1972|11|2.1
17186|MAN?SA|1972|12|2.1
17186|MAN?SA|1973|1|2.5
17186|MAN?SA|1973|2|2.5
17186|MAN?SA|1973|3|2.3
17186|MAN?SA|1973|4|2.1
17186|MAN?SA|1973|5|2.2
17186|MAN?SA|1973|6|2.9
17186|MAN?SA|1973|7|2.4
17186|MAN?SA|1973|8|3.5
17186|MAN?SA|1973|9|2.6
17186|MAN?SA|1973|10|2.7
17186|MAN?SA|1973|11|2.2
17186|MAN?SA|1973|12|2.1
17186|MAN?SA|1974|1|2.0
17186|MAN?SA|1974|2|2.4
17186|MAN?SA|1974|3|2.5
17186|MAN?SA|1974|4|2.3
17186|MAN?SA|1974|5|2.9
17186|MAN?SA|1974|6|2.3
17186|MAN?SA|1974|7|2.8
17186|MAN?SA|1974|8|2.4
17186|MAN?SA|1974|9|2.5
17186|MAN?SA|1974|10|1.9
17186|MAN?SA|1974|11|1.7
17186|MAN?SA|1974|12|1.7
17186|MAN?SA|1975|1|1.9
17186|MAN?SA|1975|2|3.2
17186|MAN?SA|1975|3|2.0
17186|MAN?SA|1975|4|1.9
17186|MAN?SA|1975|5|1.6
17186|MAN?SA|1975|6|2.0
17186|MAN?SA|1975|7|2.7
17186|MAN?SA|1975|8|2.3
17186|MAN?SA|1975|9|2.8
17186|MAN?SA|1975|10|2.1
17186|MAN?SA|1975|11|2.0
17186|MAN?SA|1975|12|2.0
17186|MAN?SA|1976|1|2.3
17186|MAN?SA|1976|2|2.9
17186|MAN?SA|1976|3|2.2
17186|MAN?SA|1976|4|2.1
17186|MAN?SA|1976|5|1.9
17186|MAN?SA|1976|6|2.4
17186|MAN?SA|1976|7|2.5
17186|MAN?SA|1976|8|2.4
17186|MAN?SA|1976|9|1.9
17186|MAN?SA|1976|10|1.8
17186|MAN?SA|1976|11|1.3
17186|MAN?SA|1976|12|2.4
17186|MAN?SA|1977|1|2.0
17186|MAN?SA|1977|2|2.2
17186|MAN?SA|1977|3|2.1
17186|MAN?SA|1977|4|2.8
17186|MAN?SA|1977|5|2.2
17186|MAN?SA|1977|6|2.2
17186|MAN?SA|1977|7|2.6
17186|MAN?SA|1977|8|2.7
17186|MAN?SA|1977|9|2.5
17186|MAN?SA|1977|10|2.1
17186|MAN?SA|1977|11|2.0
17186|MAN?SA|1977|12|3.0
17186|MAN?SA|1978|1|2.3
17186|MAN?SA|1978|2|2.2
17186|MAN?SA|1978|3|2.4
17186|MAN?SA|1978|4|1.8
17186|MAN?SA|1978|5|2.2
17186|MAN?SA|1978|6|2.3
17186|MAN?SA|1978|7|2.9
17186|MAN?SA|1978|8|2.5
17186|MAN?SA|1978|9|1.8
17186|MAN?SA|1978|10|2.0
17186|MAN?SA|1978|11|2.7
17186|MAN?SA|1978|12|1.7
17186|MAN?SA|1979|1|2.8
17186|MAN?SA|1979|2|3.0
17186|MAN?SA|1979|3|2.0
17186|MAN?SA|1979|4|2.3
17186|MAN?SA|1979|5|1.5
17186|MAN?SA|1979|6|2.4
17186|MAN?SA|1979|7|2.4
17186|MAN?SA|1979|8|2.6
17186|MAN?SA|1979|9|2.3
17186|MAN?SA|1979|10|2.0
17186|MAN?SA|1979|11|1.6
17186|MAN?SA|1979|12|1.9
17186|MAN?SA|1980|1|2.3
17186|MAN?SA|1980|2|2.6
17186|MAN?SA|1980|3|2.0
17186|MAN?SA|1980|4|2.0
17186|MAN?SA|1980|5|2.1
17186|MAN?SA|1980|6|2.0
17186|MAN?SA|1980|7|2.1
17186|MAN?SA|1980|8|2.7
17186|MAN?SA|1980|9|2.2
17186|MAN?SA|1980|10|1.6
17186|MAN?SA|1980|11|1.4
17186|MAN?SA|1980|12|2.4
17186|MAN?SA|1981|1|2.6
17186|MAN?SA|1981|2|2.2
17186|MAN?SA|1981|3|2.4
17186|MAN?SA|1981|4|2.0
17186|MAN?SA|1981|5|2.3
17186|MAN?SA|1981|6|2.1
17186|MAN?SA|1981|7|2.9
17186|MAN?SA|1981|8|2.9
17186|MAN?SA|1981|9|1.9
17186|MAN?SA|1981|10|1.7
17186|MAN?SA|1981|11|1.7
17186|MAN?SA|1981|12|2.9
17186|MAN?SA|1982|1|2.4
17186|MAN?SA|1982|2|2.4
17186|MAN?SA|1982|3|2.7
17186|MAN?SA|1982|4|1.8
17186|MAN?SA|1982|5|1.7
17186|MAN?SA|1982|6|2.1
17186|MAN?SA|1982|7|2.5
17186|MAN?SA|1982|8|2.3
17186|MAN?SA|1982|9|2.2
17186|MAN?SA|1982|10|1.7
17186|MAN?SA|1982|11|2.0
17186|MAN?SA|1982|12|2.0
17186|MAN?SA|1983|1|2.1
17186|MAN?SA|1983|2|2.2
17186|MAN?SA|1983|3|2.3
17186|MAN?SA|1983|4|1.9
17186|MAN?SA|1983|5|1.9
17186|MAN?SA|1983|6|2.5
17186|MAN?SA|1983|7|2.3
17186|MAN?SA|1983|8|2.4
17186|MAN?SA|1983|9|1.9
17186|MAN?SA|1983|10|1.8
17186|MAN?SA|1983|11|2.0
17186|MAN?SA|1983|12|1.2
17186|MAN?SA|1984|1|1.4
17186|MAN?SA|1984|2|2.0
17186|MAN?SA|1984|3|2.1
17186|MAN?SA|1984|4|1.5
17186|MAN?SA|1984|5|1.9
17186|MAN?SA|1984|6|2.5
17186|MAN?SA|1984|7|3.0
17186|MAN?SA|1984|8|2.2
17186|MAN?SA|1984|9|1.6
17186|MAN?SA|1984|10|1.7
17186|MAN?SA|1984|11|1.7
17186|MAN?SA|1984|12|1.6
17186|MAN?SA|1985|1|3.0
17186|MAN?SA|1985|2|2.9
17186|MAN?SA|1985|3|1.9
17186|MAN?SA|1985|4|2.0
17186|MAN?SA|1985|5|1.8
17186|MAN?SA|1985|6|1.9
17186|MAN?SA|1985|7|2.7
17186|MAN?SA|1985|8|2.6
17186|MAN?SA|1985|9|2.4
17186|MAN?SA|1985|10|1.8
17186|MAN?SA|1985|11|1.9
17186|MAN?SA|1985|12|1.3
17186|MAN?SA|1986|1|1.7
17186|MAN?SA|1986|2|2.3
17186|MAN?SA|1986|3|2.4
17186|MAN?SA|1986|4|1.6
17186|MAN?SA|1986|5|2.6
17186|MAN?SA|1986|6|1.8
17186|MAN?SA|1986|7|2.1
17186|MAN?SA|1986|8|2.1
17186|MAN?SA|1986|9|2.1
17186|MAN?SA|1986|10|2.1
17186|MAN?SA|1986|11|1.7
17186|MAN?SA|1986|12|1.8
17186|MAN?SA|1987|1|2.6
17186|MAN?SA|1987|2|1.9
17186|MAN?SA|1987|3|2.3
17186|MAN?SA|1987|4|2.4
17186|MAN?SA|1987|5|1.7
17186|MAN?SA|1987|6|1.8
17186|MAN?SA|1987|7|2.1
17186|MAN?SA|1987|8|2.0
17186|MAN?SA|1987|9|1.9
17186|MAN?SA|1987|10|2.2
17186|MAN?SA|1987|11|0.9
17186|MAN?SA|1987|12|1.5
17186|MAN?SA|1988|1|1.3
17186|MAN?SA|1988|2|1.8
17186|MAN?SA|1988|3|1.7
17186|MAN?SA|1988|4|1.4
17186|MAN?SA|1988|5|1.5
17186|MAN?SA|1988|6|1.5
17186|MAN?SA|1988|7|2.6
17186|MAN?SA|1988|8|2.1
17186|MAN?SA|1988|9|1.7
17186|MAN?SA|1988|10|2.1
17186|MAN?SA|1988|11|1.7
17186|MAN?SA|1988|12|1.4
17186|MAN?SA|1989|1|2.3
17186|MAN?SA|1989|2|2.4
17186|MAN?SA|1989|3|1.8
17186|MAN?SA|1989|4|1.9
17186|MAN?SA|1989|5|1.8
17186|MAN?SA|1989|6|1.7
17186|MAN?SA|1989|7|2.7
17186|MAN?SA|1989|8|2.0
17186|MAN?SA|1989|9|1.8
17186|MAN?SA|1989|10|1.9
17186|MAN?SA|1989|11|1.7
17186|MAN?SA|1989|12|1.6
17186|MAN?SA|1990|1|1.7
17186|MAN?SA|1990|2|2.7
17186|MAN?SA|1990|3|2.3
17186|MAN?SA|1990|4|2.0
17186|MAN?SA|1990|5|1.8
17186|MAN?SA|1990|6|2.1
17186|MAN?SA|1990|7|2.6
17186|MAN?SA|1990|8|2.5
17186|MAN?SA|1990|9|1.6
17186|MAN?SA|1990|10|1.7
17186|MAN?SA|1990|11|1.3
17186|MAN?SA|1990|12|1.2
17186|MAN?SA|1991|1|1.7
17186|MAN?SA|1991|2|2.2
17186|MAN?SA|1991|3|1.7
17186|MAN?SA|1991|4|1.8
17186|MAN?SA|1991|5|1.9
17186|MAN?SA|1991|6|2.1
17186|MAN?SA|1991|7|2.3
17186|MAN?SA|1991|8|2.4
17186|MAN?SA|1991|9|1.8
