Istasyon_No|Istasyon_Adi|YIL|AY|TOPLAM_ACIK_YUZEY_BUHARLASMASI_mm
17237|DEN?ZL?|1980|13|1347.2
17237|DEN?ZL?|1981|4|132.5
17237|DEN?ZL?|1981|5|157.0
17237|DEN?ZL?|1981|6|229.8
17237|DEN?ZL?|1981|7|284.0
17237|DEN?ZL?|1981|8|243.0
17237|DEN?ZL?|1981|9|167.1
17237|DEN?ZL?|1981|10|114.7
17237|DEN?ZL?|1981|11|30.3
17237|DEN?ZL?|1981|13|1358.4
17237|DEN?ZL?|1982|4|109.5
17237|DEN?ZL?|1982|5|130.6
17237|DEN?ZL?|1982|6|206.3
17237|DEN?ZL?|1982|7|242.5
17237|DEN?ZL?|1982|8|220.5
17237|DEN?ZL?|1982|9|168.9
17237|DEN?ZL?|1982|10|67.9
17237|DEN?ZL?|1982|11|13.0
17237|DEN?ZL?|1982|13|1159.2
17237|DEN?ZL?|1983|4|122.1
17237|DEN?ZL?|1983|5|164.3
17237|DEN?ZL?|1983|6|153.7
17237|DEN?ZL?|1983|7|193.2
17237|DEN?ZL?|1983|8|195.0
17237|DEN?ZL?|1983|9|126.5
17237|DEN?ZL?|1983|10|78.3
17237|DEN?ZL?|1983|11|28.6
17237|DEN?ZL?|1983|13|1061.7
17237|DEN?ZL?|1984|4|78.4
17237|DEN?ZL?|1984|5|172.9
17237|DEN?ZL?|1984|6|208.0
17237|DEN?ZL?|1984|7|241.5
17237|DEN?ZL?|1984|8|178.4
17237|DEN?ZL?|1984|9|137.9
17237|DEN?ZL?|1984|10|93.6
17237|DEN?ZL?|1984|11|44.1
17237|DEN?ZL?|1984|13|1154.8
17237|DEN?ZL?|1985|4|112.2
17237|DEN?ZL?|1985|5|150.9
17237|DEN?ZL?|1985|6|182.1
17237|DEN?ZL?|1985|7|227.1
17237|DEN?ZL?|1985|8|182.4
17237|DEN?ZL?|1985|9|129.7
17237|DEN?ZL?|1985|10|75.9
17237|DEN?ZL?|1985|11|61.4
17237|DEN?ZL?|1985|13|1121.7
17237|DEN?ZL?|1986|4|123.4
17237|DEN?ZL?|1986|5|131.5
17237|DEN?ZL?|1986|6|162.8
17237|DEN?ZL?|1986|7|212.2
17237|DEN?ZL?|1986|8|167.4
17237|DEN?ZL?|1986|9|105.9
17237|DEN?ZL?|1986|10|67.2
17237|DEN?ZL?|1986|11|24.9
17237|DEN?ZL?|1986|13|995.3
17237|DEN?ZL?|1987|4|81.5
17237|DEN?ZL?|1987|5|118.7
17237|DEN?ZL?|1987|6|158.0
17237|DEN?ZL?|1987|7|185.6
17237|DEN?ZL?|1987|8|166.9
17237|DEN?ZL?|1987|9|105.9
17237|DEN?ZL?|1987|10|66.7
17237|DEN?ZL?|1987|11|26.6
17237|DEN?ZL?|1987|13|909.9
17237|DEN?ZL?|1988|4|66.8
17237|DEN?ZL?|1988|5|118.7
17237|DEN?ZL?|1988|6|155.9
17237|DEN?ZL?|1988|7|198.3
17237|DEN?ZL?|1988|8|154.1
17237|DEN?ZL?|1988|9|120.4
17237|DEN?ZL?|1988|10|58.0
17237|DEN?ZL?|1988|11|7.6
17237|DEN?ZL?|1988|13|879.8
17237|DEN?ZL?|1989|4|117.5
17237|DEN?ZL?|1989|5|110.4
17237|DEN?ZL?|1989|6|158.8
17237|DEN?ZL?|1989|7|199.4
17237|DEN?ZL?|1989|8|165.9
17237|DEN?ZL?|1989|9|117.6
17237|DEN?ZL?|1989|10|62.2
17237|DEN?ZL?|1989|11|25.1
17237|DEN?ZL?|1989|13|956.9
17237|DEN?ZL?|1990|4|86.5
17237|DEN?ZL?|1990|5|111.0
17237|DEN?ZL?|1990|6|160.3
17237|DEN?ZL?|1990|7|205.6
17237|DEN?ZL?|1990|8|164.2
17237|DEN?ZL?|1990|9|107.1
17237|DEN?ZL?|1990|10|65.7
17237|DEN?ZL?|1990|11|28.4
17237|DEN?ZL?|1990|12|18.6
17237|DEN?ZL?|1990|13|947.4
17237|DEN?ZL?|1991|4|70.4
17237|DEN?ZL?|1991|5|80.8
17237|DEN?ZL?|1991|6|153.5
17237|DEN?ZL?|1991|7|169.4
17237|DEN?ZL?|1991|8|171.0
17237|DEN?ZL?|1991|9|116.4
17237|DEN?ZL?|1991|10|83.8
17237|DEN?ZL?|1991|11|26.3
17237|DEN?ZL?|1991|13|871.6
17237|DEN?ZL?|1992|4|79.8
17237|DEN?ZL?|1992|5|109.8
17237|DEN?ZL?|1992|6|153.8
17237|DEN?ZL?|1992|7|171.0
17237|DEN?ZL?|1992|8|176.8
17237|DEN?ZL?|1992|9|138.5
17237|DEN?ZL?|1992|10|91.4
17237|DEN?ZL?|1992|11|30.3
17237|DEN?ZL?|1992|13|951.4
17237|DEN?ZL?|1993|4|75.6
17237|DEN?ZL?|1993|5|84.6
17237|DEN?ZL?|1993|6|168.9
17237|DEN?ZL?|1993|7|214.6
17237|DEN?ZL?|1993|8|206.6
17237|DEN?ZL?|1993|9|142.2
17237|DEN?ZL?|1993|10|86.7
17237|DEN?ZL?|1993|11|38.6
17237|DEN?ZL?|1993|12|25.6
17237|DEN?ZL?|1993|13|1043.4
17237|DEN?ZL?|1994|4|82.7
17237|DEN?ZL?|1994|5|151.0
17237|DEN?ZL?|1994|6|211.7
17237|DEN?ZL?|1994|7|212.6
17237|DEN?ZL?|1994|8|217.6
17237|DEN?ZL?|1994|9|151.8
17237|DEN?ZL?|1994|10|77.6
17237|DEN?ZL?|1994|11|33.1
17237|DEN?ZL?|1994|13|1138.1
17237|DEN?ZL?|1995|4|76.4
17237|DEN?ZL?|1995|5|149.2
17237|DEN?ZL?|1995|6|213.1
17237|DEN?ZL?|1995|7|190.9
17237|DEN?ZL?|1995|8|197.0
17237|DEN?ZL?|1995|9|143.5
17237|DEN?ZL?|1995|10|77.2
17237|DEN?ZL?|1995|11|27.8
17237|DEN?ZL?|1995|13|1075.1
17237|DEN?ZL?|1996|4|84.3
17237|DEN?ZL?|1996|5|166.2
17237|DEN?ZL?|1996|6|224.6
17237|DEN?ZL?|1996|7|252.9
17237|DEN?ZL?|1996|8|219.2
17237|DEN?ZL?|1996|9|125.4
17237|DEN?ZL?|1996|10|68.2
17237|DEN?ZL?|1996|13|1140.8
17237|DEN?ZL?|1997|4|69.6
17237|DEN?ZL?|1997|5|152.1
17237|DEN?ZL?|1997|6|170.0
17237|DEN?ZL?|1997|7|245.6
17237|DEN?ZL?|1997|8|176.4
17237|DEN?ZL?|1997|9|145.4
17237|DEN?ZL?|1997|10|106.6
17237|DEN?ZL?|1997|13|1065.7
17237|DEN?ZL?|1998|4|91.5
17237|DEN?ZL?|1998|5|108.6
17237|DEN?ZL?|1998|6|189.8
17237|DEN?ZL?|1998|7|251.2
17237|DEN?ZL?|1998|8|227.1
17237|DEN?ZL?|1998|9|152.6
17237|DEN?ZL?|1998|10|99.3
17237|DEN?ZL?|1998|11|39.2
17237|DEN?ZL?|1998|13|1159.3
17237|DEN?ZL?|1999|4|112.5
17237|DEN?ZL?|1999|5|175.3
17237|DEN?ZL?|1999|6|190.2
17237|DEN?ZL?|1999|7|202.3
17237|DEN?ZL?|1999|8|173.6
17237|DEN?ZL?|1999|9|111.0
17237|DEN?ZL?|1999|10|77.2
17237|DEN?ZL?|1999|11|40.6
17237|DEN?ZL?|1999|13|1082.7
17237|DEN?ZL?|2000|4|83.2
17237|DEN?ZL?|2000|5|124.7
17237|DEN?ZL?|2000|6|161.6
17237|DEN?ZL?|2000|7|219.2
17237|DEN?ZL?|2000|8|177.1
17237|DEN?ZL?|2000|9|125.0
17237|DEN?ZL?|2000|10|65.7
17237|DEN?ZL?|2000|11|40.1
17237|DEN?ZL?|2000|12|5.0
17237|DEN?ZL?|2000|13|1001.6
17237|DEN?ZL?|2001|4|91.3
17237|DEN?ZL?|2001|5|140.4
17237|DEN?ZL?|2001|6|246.6
17237|DEN?ZL?|2001|7|266.2
17237|DEN?ZL?|2001|8|221.6
17237|DEN?ZL?|2001|9|168.5
17237|DEN?ZL?|2001|10|107.9
17237|DEN?ZL?|2001|11|46.4
17237|DEN?ZL?|2001|13|1288.9
17237|DEN?ZL?|2002|4|83.3
17237|DEN?ZL?|2002|5|189.3
17237|DEN?ZL?|2002|6|236.1
17237|DEN?ZL?|2002|7|270.7
17237|DEN?ZL?|2002|8|230.2
17237|DEN?ZL?|2002|9|133.7
17237|DEN?ZL?|2002|10|85.6
17237|DEN?ZL?|2002|13|1228.9
17237|DEN?ZL?|2003|4|70.3
17237|DEN?ZL?|2003|5|175.4
17237|DEN?ZL?|2003|6|220.2
17237|DEN?ZL?|2003|7|272.6
17237|DEN?ZL?|2003|8|239.4
17237|DEN?ZL?|2003|9|160.4
17237|DEN?ZL?|2003|10|119.9
17237|DEN?ZL?|2003|11|42.8
17237|DEN?ZL?|2003|12|5.3
17237|DEN?ZL?|2003|13|1306.3
17237|DEN?ZL?|2004|4|99.7
17237|DEN?ZL?|2004|5|164.7
17237|DEN?ZL?|2004|6|217.2
17237|DEN?ZL?|2004|7|266.5
17237|DEN?ZL?|2004|8|222.7
17237|DEN?ZL?|2004|9|170.3
17237|DEN?ZL?|2004|10|100.3
17237|DEN?ZL?|2004|11|36.9
17237|DEN?ZL?|2004|13|1278.3
17237|DEN?ZL?|2005|4|91.3
17237|DEN?ZL?|2005|5|147.3
17237|DEN?ZL?|2005|6|171.2
17237|DEN?ZL?|2005|7|215.2
17237|DEN?ZL?|2005|8|185.6
17237|DEN?ZL?|2005|9|128.1
17237|DEN?ZL?|2005|10|63.5
17237|DEN?ZL?|2005|11|21.9
17237|DEN?ZL?|2005|13|1024.1
17237|DEN?ZL?|2006|4|80.2
17237|DEN?ZL?|2006|5|136.2
17237|DEN?ZL?|2006|6|163.1
17237|DEN?ZL?|2006|7|165.6
17237|DEN?ZL?|2006|8|189.3
17237|DEN?ZL?|2006|9|108.1
17237|DEN?ZL?|2006|10|65.1
17237|DEN?ZL?|2006|11|5.0
17237|DEN?ZL?|2006|13|912.6
17237|DEN?ZL?|2007|4|102.0
17237|DEN?ZL?|2007|5|177.1
17237|DEN?ZL?|2007|6|209.2
17237|DEN?ZL?|2007|7|288.1
17237|DEN?ZL?|2007|8|245.6
17237|DEN?ZL?|2007|9|163.2
17237|DEN?ZL?|2007|10|82.3
17237|DEN?ZL?|2007|11|1.5
17237|DEN?ZL?|2007|13|1269.0
17237|DEN?ZL?|2008|4|105.8
17237|DEN?ZL?|2008|5|166.0
17237|DEN?ZL?|2008|6|245.9
17237|DEN?ZL?|2008|7|277.2
17237|DEN?ZL?|2008|8|232.6
17237|DEN?ZL?|2008|9|149.1
17237|DEN?ZL?|2008|10|78.9
17237|DEN?ZL?|2008|11|43.0
17237|DEN?ZL?|2008|12|14.8
17237|DEN?ZL?|2008|13|1313.3
17237|DEN?ZL?|2009|4|88.3
17237|DEN?ZL?|2009|5|156.1
17237|DEN?ZL?|2009|6|221.8
17237|DEN?ZL?|2009|7|259.4
17237|DEN?ZL?|2009|8|233.8
17237|DEN?ZL?|2009|9|133.2
17237|DEN?ZL?|2009|10|104.5
17237|DEN?ZL?|2009|11|33.6
17237|DEN?ZL?|2009|12|1.6
17237|DEN?ZL?|2009|13|1232.3
17237|DEN?ZL?|2010|4|98.7
17237|DEN?ZL?|2010|5|154.5
17237|DEN?ZL?|2010|6|158.9
17237|DEN?ZL?|2010|7|236.8
