Istasyon_No|Istasyon_Adi|YIL|AY|MINIMUM_NEM
17186|MAN?SA|1971|3|22.0
17186|MAN?SA|1971|4|25.0
17186|MAN?SA|1971|5|22.0
17186|MAN?SA|1971|6|17.0
17186|MAN?SA|1971|7|24.0
17186|MAN?SA|1971|8|23.0
17186|MAN?SA|1971|9|22.0
17186|MAN?SA|1971|10|28.0
17186|MAN?SA|1971|11|37.0
17186|MAN?SA|1971|12|37.0
17186|MAN?SA|1971|13|17.0
17186|MAN?SA|1972|1|40.0
17186|MAN?SA|1972|2|30.0
17186|MAN?SA|1972|3|26.0
17186|MAN?SA|1972|4|31.0
17186|MAN?SA|1972|5|24.0
17186|MAN?SA|1972|6|20.0
17186|MAN?SA|1972|7|25.0
17186|MAN?SA|1972|8|20.0
17186|MAN?SA|1972|9|22.0
17186|MAN?SA|1972|10|42.0
17186|MAN?SA|1972|11|33.0
17186|MAN?SA|1972|12|34.0
17186|MAN?SA|1972|13|20.0
17186|MAN?SA|1973|1|34.0
17186|MAN?SA|1973|2|42.0
17186|MAN?SA|1973|3|27.0
17186|MAN?SA|1973|4|30.0
17186|MAN?SA|1973|5|25.0
17186|MAN?SA|1973|6|16.0
17186|MAN?SA|1973|7|15.0
17186|MAN?SA|1973|8|32.0
17186|MAN?SA|1973|9|22.0
17186|MAN?SA|1973|10|25.0
17186|MAN?SA|1973|11|32.0
17186|MAN?SA|1973|12|43.0
17186|MAN?SA|1973|13|15.0
17186|MAN?SA|1974|1|37.0
17186|MAN?SA|1974|2|39.0
17186|MAN?SA|1974|3|29.0
17186|MAN?SA|1974|4|28.0
17186|MAN?SA|1974|5|29.0
17186|MAN?SA|1974|6|26.0
17186|MAN?SA|1974|7|25.0
17186|MAN?SA|1974|8|31.0
17186|MAN?SA|1974|9|25.0
17186|MAN?SA|1974|10|27.0
17186|MAN?SA|1974|11|38.0
17186|MAN?SA|1974|12|38.0
17186|MAN?SA|1974|13|25.0
17186|MAN?SA|1975|1|40.0
17186|MAN?SA|1975|2|37.0
17186|MAN?SA|1975|3|21.0
17186|MAN?SA|1975|4|26.0
17186|MAN?SA|1975|5|31.0
17186|MAN?SA|1975|6|27.0
17186|MAN?SA|1975|7|25.0
17186|MAN?SA|1975|8|23.0
17186|MAN?SA|1975|9|24.0
17186|MAN?SA|1975|10|30.0
17186|MAN?SA|1975|11|22.0
17186|MAN?SA|1975|12|34.0
17186|MAN?SA|1975|13|21.0
17186|MAN?SA|1976|1|34.0
17186|MAN?SA|1976|2|32.0
17186|MAN?SA|1976|3|35.0
17186|MAN?SA|1976|4|29.0
17186|MAN?SA|1976|5|27.0
17186|MAN?SA|1976|6|25.0
17186|MAN?SA|1976|7|18.0
17186|MAN?SA|1976|8|28.0
17186|MAN?SA|1976|9|22.0
17186|MAN?SA|1976|10|35.0
17186|MAN?SA|1976|11|44.0
17186|MAN?SA|1976|12|34.0
17186|MAN?SA|1976|13|18.0
17186|MAN?SA|1977|1|38.0
17186|MAN?SA|1977|2|28.0
17186|MAN?SA|1977|3|34.0
17186|MAN?SA|1977|4|24.0
17186|MAN?SA|1977|5|23.0
17186|MAN?SA|1977|6|20.0
17186|MAN?SA|1977|7|15.0
17186|MAN?SA|1977|8|17.0
17186|MAN?SA|1977|9|26.0
17186|MAN?SA|1977|10|30.0
17186|MAN?SA|1977|11|25.0
17186|MAN?SA|1977|12|34.0
17186|MAN?SA|1977|13|15.0
17186|MAN?SA|1978|1|39.0
