Istasyon_No|Istasyon_Adi|YIL|AY|AYLIK_TOPLAM_YAGIS_mm_Manuel
17186|MAN?SA|1972|2|75.3
17186|MAN?SA|1972|3|43.5
17186|MAN?SA|1972|4|52.2
17186|MAN?SA|1972|5|43.2
17186|MAN?SA|1972|6|6.1
17186|MAN?SA|1972|7|3.7
17186|MAN?SA|1972|8|1.4
17186|MAN?SA|1972|9|20.7
17186|MAN?SA|1972|10|140.1
17186|MAN?SA|1972|11|41.1
17186|MAN?SA|1972|12|3.7
17186|MAN?SA|1972|13|459.5
17186|MAN?SA|1973|1|59.7
17186|MAN?SA|1973|2|213.7
17186|MAN?SA|1973|3|62.8
17186|MAN?SA|1973|4|84.0
17186|MAN?SA|1973|5|26.2
17186|MAN?SA|1973|6|27.8
17186|MAN?SA|1973|7|16.0
17186|MAN?SA|1973|9|9.0
17186|MAN?SA|1973|10|22.1
17186|MAN?SA|1973|11|76.9
17186|MAN?SA|1973|12|148.6
17186|MAN?SA|1973|13|746.8
17186|MAN?SA|1974|1|18.6
17186|MAN?SA|1974|2|178.4
17186|MAN?SA|1974|3|131.2
17186|MAN?SA|1974|4|47.6
17186|MAN?SA|1974|5|24.6
17186|MAN?SA|1974|6|25.2
17186|MAN?SA|1974|7|0.9
17186|MAN?SA|1974|8|11.0
17186|MAN?SA|1974|9|36.6
17186|MAN?SA|1974|10|39.3
17186|MAN?SA|1974|11|173.2
17186|MAN?SA|1974|12|113.2
17186|MAN?SA|1974|13|799.8
17186|MAN?SA|1975|1|161.4
17186|MAN?SA|1975|2|88.8
17186|MAN?SA|1975|3|69.4
17186|MAN?SA|1975|4|65.9
17186|MAN?SA|1975|5|51.3
17186|MAN?SA|1975|6|38.8
17186|MAN?SA|1975|8|1.9
17186|MAN?SA|1975|9|15.8
17186|MAN?SA|1975|10|41.5
17186|MAN?SA|1975|11|107.7
17186|MAN?SA|1975|12|120.3
17186|MAN?SA|1975|13|762.8
17186|MAN?SA|1976|1|72.0
17186|MAN?SA|1976|2|67.2
17186|MAN?SA|1976|3|44.2
17186|MAN?SA|1976|4|93.2
17186|MAN?SA|1976|5|51.8
17186|MAN?SA|1976|6|20.6
17186|MAN?SA|1976|7|21.1
17186|MAN?SA|1976|8|17.1
17186|MAN?SA|1976|9|0.1
17186|MAN?SA|1976|10|157.7
17186|MAN?SA|1976|11|93.0
17186|MAN?SA|1976|12|154.2
17186|MAN?SA|1976|13|792.2
17186|MAN?SA|1977|1|77.9
17186|MAN?SA|1977|2|67.4
17186|MAN?SA|1977|3|56.0
17186|MAN?SA|1977|4|68.3
17186|MAN?SA|1977|5|2.9
17186|MAN?SA|1977|6|10.6
17186|MAN?SA|1977|8|0.0
17186|MAN?SA|1977|9|51.5
17186|MAN?SA|1977|10|101.6
17186|MAN?SA|1977|11|94.1
17186|MAN?SA|1977|12|142.1
17186|MAN?SA|1977|13|672.4
17186|MAN?SA|1978|1|257.1
17186|MAN?SA|1978|2|151.0
17186|MAN?SA|1978|3|164.4
17186|MAN?SA|1978|4|80.4
