Istasyon_No|Istasyon_Adi|YIL|AY|MAKSIMUM_NEM
17186|MAN?SA|1971|3|97.0
17186|MAN?SA|1971|4|98.0
17186|MAN?SA|1971|5|85.0
17186|MAN?SA|1971|6|90.0
17186|MAN?SA|1971|7|83.0
17186|MAN?SA|1971|8|87.0
17186|MAN?SA|1971|9|84.0
17186|MAN?SA|1971|10|95.0
17186|MAN?SA|1971|11|98.0
17186|MAN?SA|1971|12|98.0
17186|MAN?SA|1971|13|98.0
17186|MAN?SA|1972|1|96.0
17186|MAN?SA|1972|2|96.0
17186|MAN?SA|1972|3|97.0
17186|MAN?SA|1972|4|97.0
17186|MAN?SA|1972|5|91.0
17186|MAN?SA|1972|6|91.0
17186|MAN?SA|1972|7|83.0
17186|MAN?SA|1972|8|80.0
17186|MAN?SA|1972|9|94.0
17186|MAN?SA|1972|10|97.0
17186|MAN?SA|1972|11|97.0
17186|MAN?SA|1972|12|95.0
17186|MAN?SA|1972|13|97.0
17186|MAN?SA|1973|1|97.0
17186|MAN?SA|1973|2|97.0
17186|MAN?SA|1973|3|96.0
17186|MAN?SA|1973|4|95.0
17186|MAN?SA|1973|5|86.0
17186|MAN?SA|1973|6|93.0
17186|MAN?SA|1973|7|84.0
17186|MAN?SA|1973|8|78.0
17186|MAN?SA|1973|9|92.0
17186|MAN?SA|1973|10|98.0
17186|MAN?SA|1973|11|100.0
17186|MAN?SA|1973|12|100.0
17186|MAN?SA|1973|13|100.0
17186|MAN?SA|1974|1|99.0
17186|MAN?SA|1974|2|92.0
17186|MAN?SA|1974|3|94.0
17186|MAN?SA|1974|4|95.0
17186|MAN?SA|1974|5|94.0
17186|MAN?SA|1974|6|75.0
17186|MAN?SA|1974|7|74.0
17186|MAN?SA|1974|8|92.0
17186|MAN?SA|1974|9|89.0
17186|MAN?SA|1974|10|100.0
17186|MAN?SA|1974|11|100.0
17186|MAN?SA|1974|12|98.0
17186|MAN?SA|1974|13|100.0
17186|MAN?SA|1975|1|87.0
17186|MAN?SA|1975|2|95.0
17186|MAN?SA|1975|3|97.0
17186|MAN?SA|1975|4|98.0
17186|MAN?SA|1975|5|93.0
17186|MAN?SA|1975|6|94.0
17186|MAN?SA|1975|7|82.0
17186|MAN?SA|1975|8|92.0
17186|MAN?SA|1975|9|85.0
17186|MAN?SA|1975|10|97.0
17186|MAN?SA|1975|11|99.0
17186|MAN?SA|1975|12|96.0
17186|MAN?SA|1975|13|99.0
17186|MAN?SA|1976|1|97.0
17186|MAN?SA|1976|2|96.0
17186|MAN?SA|1976|3|96.0
17186|MAN?SA|1976|4|96.0
17186|MAN?SA|1976|5|96.0
17186|MAN?SA|1976|6|90.0
17186|MAN?SA|1976|7|96.0
17186|MAN?SA|1976|8|94.0
17186|MAN?SA|1976|9|92.0
17186|MAN?SA|1976|10|98.0
17186|MAN?SA|1976|11|97.0
