algorithm,feature_combo,name,train_test,MAE,RMSE,R2,WI
SVR,1,svr_1,train,0.3483394097156852,0.4511527024796516,0.9461701602354814,0.8952964738580524
SVR,1,svr_1,test,0.3697518686601466,0.4736370706648957,0.910425148011256,0.8649927389468919
SVR,2,svr_2,train,0.3265738526910745,0.4261144028374621,0.9519793108702892,0.9018387441420276
SVR,2,svr_2,test,0.3355747331324628,0.4310841353498921,0.9257974539630596,0.8774718143737548
SVR,3,svr_3,train,0.8295313233259818,1.0701481209497363,0.6971247768335624,0.7506602693381226
SVR,3,svr_3,test,0.7878905125831178,0.973936030508029,0.6212474270125499,0.7123180458856697
SVR,4,svr_4,train,0.6408234011740456,0.8339618100600065,0.8160633437816605,0.8073819158390301
SVR,4,svr_4,test,0.5493089695189408,0.7501395351740049,0.7753125391581286,0.7994311706513064
SVR,5,svr_5,train,0.4620641254951272,0.5899664734690518,0.9079485518342378,0.8611132077116317
SVR,5,svr_5,test,0.4124632944403994,0.5345460305906586,0.8859054383352054,0.8493975436307456
SVR,6,svr_6,train,1.0368222438503294,1.3317261073746178,0.5309644203559487,0.6883529629847464
SVR,6,svr_6,test,0.8915960675925628,1.1730448213157023,0.4505553620438,0.674452103548306
SVR,7,svr_7,train,0.1848478984609839,0.2617577579389182,0.9818792952251538,0.9444385957230892
SVR,7,svr_7,test,0.2236636118252912,0.303144075388672,0.9633061825488984,0.9183338498350292
SVR,8,svr_8,train,0.1791924423693578,0.2559060007024881,0.9826804381890752,0.9461385072984618
SVR,8,svr_8,test,0.2258983323585101,0.3082355647033909,0.9620632414889856,0.917517887769706
SVR,9,svr_9,train,0.0945433087805387,0.1306774351357399,0.9954837584268436,0.9715822627978588
SVR,9,svr_9,test,0.1209887723016765,0.1598183250415477,0.9898012281659938,0.95582344769259
SVR,10,svr_10,train,0.1689973473630449,0.2431189952771725,0.9843680288366068,0.9492029391908636
SVR,10,svr_10,test,0.2235560368068977,0.3046305853890019,0.9629454335362228,0.9183731286320334
SVR,11,svr_11,train,0.5745378101168561,0.7683683954527877,0.8438597224819754,0.8273059753123913
SVR,11,svr_11,test,0.3943604600276962,0.4937637057161874,0.9026506504851464,0.8560074198707583
SVR,12,svr_12,train,0.5085292963104182,0.7130712987107188,0.8655249008006843,0.847146751171099
SVR,12,svr_12,test,0.3379754246276903,0.4364799002581733,0.9239282818802425,0.8765952514382417
SVR,13,svr_13,train,0.3914602054882423,0.5202753351721019,0.9284116362754916,0.8823352663647097
SVR,13,svr_13,test,0.3734440638152283,0.4998063179510167,0.9002533750662408,0.8636446101139872
SVR,14,svr_14,train,0.5247208565500777,0.7530662465673544,0.8500169001348872,0.8422799075021159
SVR,14,svr_14,test,0.3435853145257422,0.44265124472327866,0.9217619340900649,0.8745469159621021
