st_num,date,year,month,latitude,longitude,elevation,min_temp,max_temp,avg_temp,min_hum,max_hum,avg_hum,avg_ws,inc_rad,sun_duration,G,Ra,Rso,Rn,ET0
17296,1985-05-15,1985,5,36.6266,29.1238,3.0,7.4,32.9,20.15,30.0,92.0,61.0,1.4211070428190935,22.212856,8.3,0.5285000000000001,40.1246394028975,30.0958870305373,12.270718987501484,5.31662652249265
17296,1985-06-15,1985,6,36.6266,29.1238,3.0,14.0,35.6,24.8,27.0,90.0,58.5,1.4959021503358882,26.53074400000001,11.8,0.4620000000000001,41.72019072158539,31.29264625263233,15.103324640358004,6.262001323511398
17296,1985-07-15,1985,7,36.6266,29.1238,3.0,14.0,39.5,26.75,19.0,83.0,51.0,1.4959021503358882,26.267152000000003,12.1,0.21,40.74015113749315,30.55755776218811,14.417371520051743,6.892325687285077
17296,1985-08-15,1985,8,36.6266,29.1238,3.0,16.0,39.6,27.8,22.0,93.0,57.5,1.3463119353022994,23.593576,11.1,-0.2204999999999999,37.05933921142589,27.796727968922102,13.063960479355131,6.163916621387999
17296,1985-09-15,1985,9,36.6266,29.1238,3.0,11.2,36.0,23.6,26.0,97.0,61.5,1.271516827785505,20.493232000000003,10.2,-0.6755000000000002,31.176363830378104,23.3841434546134,9.986672763101687,5.048254185226879
17296,1985-10-15,1985,10,36.6266,29.1238,3.0,4.8,31.5,18.15,23.0,95.0,59.0,1.3463119353022994,14.62308,8.0,-0.5635000000000001,24.01578084169289,18.01327657812017,5.567360133210607,3.7835893447513422
17296,1985-11-15,1985,11,36.6266,29.1238,3.0,6.3,24.8,15.55,35.0,98.0,66.5,0.897541290201533,9.694328,5.0,-0.4899999999999999,18.281233744491463,13.712022182393266,3.2262636857242306,1.8911144163168752
17296,1985-12-15,1985,12,36.6266,29.1238,3.0,-0.2,22.5,11.15,24.0,98.0,61.0,1.0471315052351216,8.418208,5.0,-0.434,15.667748706345536,11.751751594681531,1.8426827866034623,1.7932665394136913
17296,1986-01-15,1986,1,36.6266,29.1238,3.0,-1.4,20.1,9.35,33.0,98.0,65.5,1.121926612751916,7.80316,4.2,0.0139999999999999,17.08329571887093,12.813496786896328,2.4820229697750777,1.7380397302154469
17296,1986-02-15,1986,2,36.6266,29.1238,3.0,1.0,21.7,11.35,39.0,98.0,68.5,1.271516827785505,10.978816,4.9,0.2099999999999999,22.067243089391603,16.551756351629063,4.432186289421924,2.262718005357441
